#Horror;3.3;101;Drama|Horror|Mystery|Thriller;Tara Subkoff;Timothy Hutton;Balthazar Getty;Lydia Hearst;bullying|cyberbullying|girl|internet|throat slitting
Gods and Generals;6.3;280;Drama|History|War;Ron Maxwell;Billy Campbell;Bruce Boxleitner;John Castle;confederacy|hero|prequel|stonewall jackson|war hero
Gods and Monsters;7.5;105;Biography|Drama;Bill Condon;Brendan Fraser;Lynn Redgrave;Kevin J. O'Connor;friendship|gardener|gay interest|homosexual|memory
God's Not Dead 2;3.4;120;Drama;Harold Cronk;Benjamin A. Onyango;Robin Givens;Maria Canals-Barrera;alternate universe|christian|christian film|christianity|manipulation
Gods of Egypt;5.5;126;Action|Adventure|Fantasy;Alex Proyas;Gerard Butler;Elodie Yung;Bryan Brown;ancient egypt|egypt|egyptian|egyptian god|egyptian goddess
Godsend;4.8;102;Drama|Horror|Sci-Fi|Thriller;Nick Hamm;Robert De Niro;Cameron Bright;Munro Chambers;birthday|boy|clone|cloning|doctor
Godzilla 2000;6;99;Action|Adventure|Drama|Sci-Fi|Thriller;Takao Okawara;Hiroshi Abe;Naomi Nishida;Sakae Kimura;godzilla|kaiju|monster|orga|ufo
Godzilla Resurgence;8.2;120;Action|Adventure|Drama|Horror|Sci-Fi;Hideaki Anno;Mark Chinnery;Shin'ya Tsukamoto;Atsuko Maeda;blood|godzilla|monster|sequel
Godzilla Resurgence;8.2;120;Action|Adventure|Drama|Horror|Sci-Fi;Hideaki Anno;Mark Chinnery;Shin'ya Tsukamoto;Atsuko Maeda;blood|godzilla|monster|sequel
Going the Distance;6.3;102;Comedy|Romance;Nanette Burstein;Rob Riggle;Kelli Garner;Jim Gaffigan;bar|job|long distance relationship|male pubic hair|pubic hair
GoldenEye;7.2;130;Action|Adventure|Thriller;Martin Campbell;Izabella Scorupco;Joe Don Baker;Tchéky Karyo;agent|cossack|official james bond series|russia|russian
Goldfinger;7.8;110;Action|Adventure|Thriller;Guy Hamilton;Honor Blackman;Gert Fröbe;Lois Maxwell;bikini|covered in melted gold|fort knox|gold|pilot
Gomorrah;8.7;55;Crime|Drama|Thriller;;Maria Pia Calzone;Fortunato Cerlino;Marco D'Amore;
Gone Girl;8.1;149;Crime|Drama|Mystery|Thriller;David Fincher;Patrick Fugit;Sela Ward;Emily Ratajkowski;based on novel|disappearance|missing person|missing wife|murder suspect
Gone in Sixty Seconds;6.5;127;Action|Crime|Thriller;Dominic Sena;Nicolas Cage;Angelina Jolie Pitt;Robert Duvall;auto theft|brother|car|theft|thief
Gone with the Wind;8.2;226;Drama|History|Romance|War;Victor Fleming;Hattie McDaniel;George Reeves;Thomas Mitchell;battle of the sexes|gallantry|honesty|indifference|scandal
Gone, Baby, Gone;6.6;43;Comedy|Drama|Reality-TV|Romance;;Nicole 'Snooki' Polizzi;Jenni 'Jwoww' Farley;Paul 'Pauly D' DelVecchio;lifestyle
Good;6.2;92;Drama|Romance|War;Vicente Amorim;Viggo Mortensen;Jodie Whittaker;Steven Mackintosh;censorship|children|corpse|heil hitler|suffering
Good Boy!;5.1;87;Comedy|Drama|Family|Fantasy|Sci-Fi;John Hoffman;Liam Aiken;Molly Shannon;Kevin Nealon;dog|friend|neighborhood|planet|star
Good Bye Lenin!;7.7;121;Drama|Romance;Wolfgang Becker;Florian Lukas;Chulpan Khamatova;Burghart Klaußner;coma|east germany|german democratic republic|germany|heart attack
Good Deeds;5.4;110;Comedy|Drama|Romance;Tyler Perry;Eddie Cibrian;Phylicia Rashad;Jamie Kennedy;businessman|fight|mean brother|narrated by character|wordplay in title
Good Dick;6.5;86;Comedy|Drama|Romance;Marianna Palka;Bryce Dallas Howard;Martin Starr;Jason Ritter;avoidant personality disorder|emotionally vulnerable|sex|video store|video store clerk
Good Intentions;5.2;84;Comedy;Jim Issa;Elaine Hendrix;Luke Perry;Jon Gries;
Good Kill;6.4;102;Drama|Thriller;Andrew Niccol;Bruce Greenwood;Zoë Kravitz;Stafford Douglas;cigarette butt|drone|funeral procession|nellis air force base|taliban
Good Luck Chuck;5.6;101;Comedy|Romance;Mark Helfrich;Dane Cook;Dan Fogler;Chelan Simmons;breasts|leg spreading|mini skirt|sex|sex in bed
Good Morning, Vietnam;7.3;121;Biography|Comedy|Drama|War;Barry Levinson;Robin Williams;J.T. Walsh;Bruno Kirby;disc jockey|friendship|radio|vietnam|vietnamese
Good Night, and Good Luck.;7.5;93;Biography|Drama|History;George Clooney;Robert Downey Jr.;Tate Donovan;Alex Borstein;cbs|expose|fear|paranoia|reporter
Good Will Hunting;8.3;126;Drama;Gus Van Sant;Robin Williams;Matt Damon;Minnie Driver;friend|genius|janitor|loss of wife|professor
Goodfellas;8.7;146;Biography|Crime|Drama;Martin Scorsese;Robert De Niro;Mike Starr;Paul Sorvino;betrayal|gangster|mafia|organized crime|robbery
Goosebumps;6.4;103;Adventure|Comedy|Family|Fantasy|Horror;Rob Letterman;Odeya Rush;Dylan Minnette;Ken Marino;based on book|blob|ferris wheel|manuscript|monster
Goosebumps;6.4;103;Adventure|Comedy|Family|Fantasy|Horror;Rob Letterman;Odeya Rush;Dylan Minnette;Ken Marino;based on book|blob|ferris wheel|manuscript|monster
Gory Gory Hallelujah;4.7;96;Comedy|Fantasy|Horror|Musical;Sue Corcoran;Tony Doupe;Sue Corcoran;David Frederick White;conspiracy|feminist|hippie|motorcycle|slapstick comedy
Gosford Park;7.3;131;Drama|Mystery;Robert Altman;Kristin Scott Thomas;Bob Balaban;Tom Hollander;country house|murder|producer|servant|shooting party
Gossip;5.9;90;Drama|Mystery|Thriller;Davis Guggenheim;Norman Reedus;Sharon Lawrence;Noam Jenkins;college|college campus|gossip|rape|sex
Gothika;5.8;98;Horror|Mystery|Thriller;Mathieu Kassovitz;Robert Downey Jr.;Charles S. Dutton;Bernard Hill;memory|murder|patient|psychiatrist|the devil
Grabbers;6.3;94;Comedy|Horror|Sci-Fi|Thriller;Jon Wright;Russell Tovey;Richard Coyle;Bronagh Gallagher;bathtub|eaten alive|ferry boat|lobster trap|sprinkler system
Grace of Monaco;5.7;103;Biography|Drama|Romance;Olivier Dahan;Paz Vega;Frank Langella;Derek Jacobi;1960s|grace kelly|hollywood star|monaco|prince
Grace Unplugged;6.1;102;Drama|Music;Brad J. Silverman;Shawnee Smith;Michael Welch;Anthony Reynolds;christianity|love|reference to justin bieber|reference to taylor swift|worship
Gracie;6.2;95;Biography|Drama|Sport;Davis Guggenheim;Emma Bell;John Doman;Carly Schroeder;boy|girl|soccer|south orange new jersey|teenager
Graduation Day;4.5;96;Horror|Mystery;Herb Freed;Linnea Quigley;Carmen Argenziano;Vanna White;coach|mask|school principal|team|track
Gran Torino;8.2;116;Drama;Clint Eastwood;Clint Eastwood;Dreama Walker;Ahney Her;gang|gang rape|hmong|teenager|widower
Grand Theft Parsons;6.1;88;Adventure|Comedy|Drama;David Caffrey;Marley Shelton;Scott Adsit;Jim Cody Williams;guitar|hearse|manager|musician|singer
Grandma's Boy;7;90;Comedy;Nicholaus Goossen;Linda Cardellini;Joel David Moore;Shirley Jones;co worker|game tester|loss of virginity|roommate|snack
Grave Encounters;6.1;92;Horror;Colin Minihan;Mackenzie Gray;Sean Rogerson;Ashleigh Gryzko;ghost|ghost hunting|labyrinth|paranormal|reality show
Gravity;7.8;91;Adventure|Drama|Sci-Fi|Thriller;Alfonso Cuarón;Phaldut Sharma;Basher Savage;Amy Warren;box office hit|long take|sole survivor|space|space station
Grease;7.2;110;Musical|Romance;Randal Kleiser;Olivia Newton-John;Stockard Channing;Sid Caesar;automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959
Green Lantern;5.6;123;Action|Adventure|Sci-Fi;Martin Campbell;Ryan Reynolds;Temuera Morrison;Taika Waititi;autopsy|lantern|planet|ring|test pilot
Green Room;7.1;95;Crime|Horror|Music|Thriller;Jeremy Saulnier;Alia Shawkat;Mark Webber;Joe Cole;murder|neo nazi|punk band|skinhead|suspense
Green Street 3: Never Back Down;5.4;93;Action|Drama;James Nunn;Spencer Wilding;Mark Wingett;Kacey Clarke;bare breasts|firm|hooliganism|training|west ham supporter
Green Zone;6.9;115;Action|Drama|Thriller|War;Paul Greengrass;Matt Damon;Sean Huze;Igal Naor;cia|iraq|iraqi|political military conspiracy|weapon of mass destruction
Gremlins;7.2;106;Comedy|Fantasy|Horror;Joe Dante;Phoebe Cates;Harry Carey Jr.;Zach Galligan;bright light|midnight|pet|small town|water
Gremlins 2: The New Batch;6.3;106;Comedy|Fantasy|Horror;Joe Dante;Christopher Lee;Robert Picardo;Phoebe Cates;gremlin|horror host|hulk hogan|monster|skyscraper
Gridiron Gang;6.9;125;Crime|Drama|Sport;Phil Joanou;Dwayne Johnson;Jurnee Smollett-Bell;Kevin Dunn;alliterative title|football|football coach|football practice|football team
Griff the Invisible;6.1;90;Comedy|Drama|Romance|Sci-Fi;Leon Ford;Maeve Dermody;Patrick Brammall;Kelly Paterniti;alter ego|awkwardness|office|scientist|superhero
Grindhouse;7.6;189;Action|Horror|Thriller;Robert Rodriguez;Quentin Tarantino;Rosario Dawson;Zoë Bell;anthropophagus|blood and gore|double feature|real twins playing twins|zombie
Groove;6.5;86;Drama|Music;Greg Harrison;Rachel True;Ari Gold;Denny Kirkwood;dj|ecstasy the drug|rave|raver|warehouse
Grosse Pointe Blank;7.4;107;Action|Comedy|Crime|Romance|Thriller;George Armitage;Minnie Driver;Michael Cudlitz;Mitchell Ryan;assassin|high school|high school reunion|reunion|suburb
Groundhog Day;8.1;101;Comedy|Fantasy|Romance;Harold Ramis;Bill Murray;Chris Elliott;Willie Garson;cult film|existentialism|groundhog day|time loop|trapped in a time loop
Growing Up Smith;8.2;102;Comedy|Drama|Family;Frank Lotito;Brighton Sharbino;Jake Busey;Tim Guinee;adolescence|girl next door|growing vegetables|high standards|sent away
Grown Ups;6;102;Comedy;Dennis Dugan;Steve Buscemi;Adam Sandler;Salma Hayek;basketball|coach|daughter|high school|high school basketball
Grown Ups 2;5.4;101;Comedy;Dennis Dugan;Steve Buscemi;Adam Sandler;Jon Lovitz;belching|number in title|party|reference to nicki minaj|sneezing
Grudge Match;6.4;113;Comedy|Sport;Peter Segal;Robert De Niro;Sylvester Stallone;Oscar Gale;broke|promoter|retirement|trainer|training
Guardians of the Galaxy;8.1;121;Action|Adventure|Sci-Fi;James Gunn;Bradley Cooper;Vin Diesel;Djimon Hounsou;bounty hunter|outer space|raccoon|talking animal|tree
Guess Who;5.9;105;Comedy|Romance;Kevin Rodney Sullivan;Bernie Mac;Nicole Sullivan;Sherri Shepherd;argument|engagement|family relationships|love|undressing
Guiana 1838;7.4;120;Drama;Rohit Jagessar;Kumar Gaurav;Rufus Graham;Aasheekaa Bathija;bare chested male|discipline|imperialism|whipping|white slavery
Gulliver's Travels;4.9;85;Adventure|Comedy|Family|Fantasy;Rob Letterman;James Corden;Catherine Tate;Olly Alexander;bermuda triangle|box office hit|shipwrecked|travel|travel writer
Gun Shy;5.7;101;Comedy|Crime|Romance;Eric Blakeney;Liam Neeson;Oliver Platt;Mitch Pileggi;colombian|enema|group therapy|murder|nurse
Gunless;6.5;89;Action|Comedy|Drama|Western;William Phillips;Tyler Mane;Callum Rennie;Dustin Milligan;blacksmith|bounty hunter|duel|gunslinger|wild west
H.;6.3;93;Drama|Sci-Fi|Thriller;Rania Attieh;Paul Hickert;Robin Bartlett;Rebecca Dayan;
Hachi: A Dog's Tale;8.1;93;Drama|Family;Lasse Hallström;Cary-Hiroyuki Tagawa;Sarah Roemer;Joan Allen;dog|human animal relationship|japanese|loyalty|waiting
Hackers;6.2;107;Comedy|Crime|Drama|Thriller;Iain Softley;Angelina Jolie Pitt;Fisher Stevens;Lorraine Bracco;computer|computer virus|cyberpunk|fight the system|sexual fantasy
Hail, Caesar!;6.4;106;Comedy|Mystery;Ethan Coen;Scarlett Johansson;Channing Tatum;Alden Ehrenreich;50s|film within a film|hollywood|illegitimate pregnancy|twins
Hairspray;6.7;117;Comedy|Drama|Family|Music|Musical|Romance;Adam Shankman;Jerry Stiller;Elijah Kelley;Paul Dooley;audition|best friend|dance|friend|tv dance show
Half Baked;6.7;82;Comedy|Crime;Tamra Davis;Dave Chappelle;Harland Williams;Clarence Williams III;bail|diabetic|friend|jail|pharmaceutical lab
Half Nelson;7.2;106;Drama;Ryan Fleck;Ryan Gosling;Tristan Mack Wilds;Jeff Lima;bathroom|classroom|dialectics|drugs|student
Half Past Dead;4.6;98;Action|Crime|Thriller;Don Michael Paul;Claudia Christian;Nia Peeples;Tony Plana;alcatraz|fbi|gold|prison|undercover
Hall Pass;5.9;111;Comedy|Romance;Bobby Farrelly;Jenna Fischer;Larry Joe Campbell;Stephen Merchant;drugged food|female frontal nudity|male frontal nudity|male nudity|marriage
Halloween;7.9;101;Horror|Thriller;John Carpenter;Jamie Lee Curtis;Donald Pleasence;P.J. Soles;halloween|masked killer|michael myers|slasher|trick or treat
Halloween;7.9;101;Horror|Thriller;John Carpenter;Jamie Lee Curtis;Donald Pleasence;P.J. Soles;halloween|masked killer|michael myers|slasher|trick or treat
Halloween;7.9;101;Horror|Thriller;John Carpenter;Jamie Lee Curtis;Donald Pleasence;P.J. Soles;halloween|masked killer|michael myers|slasher|trick or treat
Halloween 4: The Return of Michael Myers;5.9;88;Horror|Thriller;Dwight H. Little;Donald Pleasence;Kathleen Kinmont;Ellie Cornell;halloween|michael myers|murder|niece|october
Halloween 5;5.2;96;Horror|Thriller;Dominique Othenin-Girard;Donald Pleasence;Tamara Glynn;Troy Evans;cat|halloween|kitten|michael myers|psychotronic
Halloween II;4.9;119;Horror;Rob Zombie;Scout Taylor-Compton;Tyler Mane;Margot Kidder;halloween|hospital|michael myers|rampage|vomiting
Halloween II;4.9;119;Horror;Rob Zombie;Scout Taylor-Compton;Tyler Mane;Margot Kidder;halloween|hospital|michael myers|rampage|vomiting
Halloween III: Season of the Witch;4.6;98;Horror|Mystery|Sci-Fi;Tommy Lee Wallace;Tom Atkins;Dan O'Herlihy;Nancy Kyes;doctor|factory|halloween|holiday horror|stonehenge
Halloween: Resurrection;4.1;94;Comedy|Horror|Thriller;Rick Rosenthal;Jamie Lee Curtis;Thomas Ian Nicholas;Bianca Kajlich;cult film|halloween|killer|michael myers|serial killer
Halloween: The Curse of Michael Myers;4.9;93;Horror|Thriller;Joe Chappelle;Donald Pleasence;Kim Darby;Mitchell Ryan;halloween|michael myers|nudity|returning character with different actor|slasher flick
Hamlet;7.8;150;Drama;Kenneth Branagh;Julie Christie;Brian Blessed;Richard Briers;classic literature|denmark|funeral|madness|prince
Hamlet;7.8;150;Drama;Kenneth Branagh;Julie Christie;Brian Blessed;Richard Briers;classic literature|denmark|funeral|madness|prince
Hamlet 2;6.4;92;Comedy|Music;Andrew Fleming;Steve Coogan;Amy Poehler;David Arquette;gang banger|sequel|shakespeare's hamlet|student|time machine
Hancock;6.4;102;Action|Drama;Peter Berg;Will Smith;Charlize Theron;Eddie Marsan;bully comeuppance|destruction|prison|superhero|tough girl
Hands of Stone;7.2;105;Action|Biography|Drama|Sport;Jonathan Jakubowicz;Robert De Niro;Jurnee Smollett-Bell;Edgar Ramírez;boxer|boxing|three word title
Hang 'Em High;7;114;Western;Ted Post;Clint Eastwood;Bruce Dern;Alan Hale Jr.;imperative in title|judge|marshal|murder|vigilante
Hanging Up;4.7;94;Comedy|Drama;Diane Keaton;Adam Arkin;Celia Weston;Jesse James;actress|clown costume|magazine|party planner|soap opera actress
Hanna;6.8;111;Action|Drama|Thriller;Joe Wright;Jessica Barden;Vicky Krieps;John Macmillan;assassin|female warrior|martial arts|playground|training
Hannah Montana: The Movie;4.2;102;Comedy|Drama|Family|Music|Romance;Peter Chelsom;Emily Osment;Vanessa Williams;Moises Arias;farm|female protagonist|hannah montana|horseback riding|overalls
Hannibal;8.6;44;Crime|Drama|Horror|Mystery|Thriller;;Caroline Dhavernas;Scott Thompson;Hettienne Park;blood|cannibalism|fbi|manipulation|psychiatrist
Hannibal Rising;6.2;131;Crime|Drama|Thriller;Peter Webber;Li Gong;Stephen Walters;Richard Brake;aunt|cannibalism|faked death|medical student|revenge
Hansel & Gretel Get Baked;4.3;86;Comedy|Horror;Duane Journey;Molly C. Quinn;Lara Flynn Boyle;Lochlyn Munro;hansel and gretel|lesbian kiss|marijuana|witch|witchcraft
Hansel & Gretel: Witch Hunters;6.1;98;Action|Fantasy|Horror;Tommy Wirkola;Jeremy Renner;Derek Mears;Ingrid Bolsø Berdal;bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power
Happily N'Ever After;4.5;75;Adventure|Animation|Comedy|Family|Fantasy;Paul Bolger;Sarah Michelle Gellar;George Carlin;Rob Paulsen;apostrophe in title|cinderella|first of series|punctuation in title|three word title
Happiness;7.8;134;Comedy|Drama;Todd Solondz;Philip Seymour Hoffman;Jon Lovitz;Dylan Baker;ensemble cast|episodic structure|satire|social satire|suburb
Happy Christmas;5.6;82;Comedy|Drama;Joe Swanberg;Anna Kendrick;Lena Dunham;Mark Webber;chicago illinois|drink|drinking|filmmaker|writer
Happy Feet;6.5;108;Animation|Comedy|Family|Music|Romance;George Miller;Robin Williams;Hugh Jackman;Elizabeth Daily;dance|emperor penguin|friend|penguin|song
Happy Feet 2;5.9;100;Animation|Comedy|Family|Musical;George Miller;Robin Williams;Brad Pitt;Common;3d|antarctica|krill|penguin|sequel
Happy Gilmore;7;92;Comedy|Sport;Dennis Dugan;Adam Sandler;Kevin Nealon;Frances Bay;golf|golf ball|golfer|grandmother's house|tournament
Happy Valley;8.5;58;Crime|Drama;;Shirley Henderson;James Norton;Sarah Lancashire;caravan|police|police sergeant|tied to a chair|yorkshire
Happy, Texas;6.3;98;Comedy|Crime|Romance;Mark Illsley;Ally Walker;Illeana Douglas;Jeremy Northam;banker|beauty pageant|escaped convict|gay|pageant
Hard Candy;7.1;104;Crime|Drama|Thriller;David Slade;Odessa Rae;G.J. Echternkamp;Patrick Wilson;chatting|missing person poster|online dating|photographer|sexual predator
Hard Rain;5.8;97;Action|Crime|Drama|Thriller;Mikael Salomon;Morgan Freeman;Minnie Driver;Randy Quaid;dam|flood|money|police|sheriff
Hard to Be a God;6.7;177;Drama|Sci-Fi;Aleksey German;Leonid Yarmolnik;Yuriy Tsurilo;Valentin Golubenko;fictional war|hanging|male full frontal nudity|medieval times|nudity
Hardball;6.3;106;Drama|Sport;Brian Robbins;Keanu Reeves;D.B. Sweeney;DeWayne Warren;coach|gambling|housing project|little league|little league baseball
Hardflip;5.6;112;Action|Drama;Johnny Remo;Matthew Ziff;Randy Wayne;Raquel Elizabeth Ames;family relationships|loss of mother|san diego california|single mother|suicide attempt
Harley Davidson and the Marlboro Man;6;98;Action|Crime|Drama|Thriller|Western;Simon Wincer;Vanessa Williams;Tia Carrere;Don Johnson;bar|biker|cowboy|drugs|marlboro
Harlock: Space Pirate;6.5;115;Adventure|Animation|Sci-Fi;Shinji Aramaki;Shun Oguri;Yû Aoi;Haruma Miura;liberty|space adventure|space opera|time travel|undercover agent
Harold & Kumar Escape from Guantanamo Bay;6.6;102;Adventure|Comedy;Jon Hurwitz;Danneel Ackles;Eric Winter;Beverly D'Angelo;bong|escape|ex girlfriend|guantanamo bay|texas
Harold & Kumar Go to White Castle;7.1;88;Adventure|Comedy;Danny Leiner;Ethan Embry;Fred Willard;Paula Garcés;marijuana|police|road trip|stoner|white castle
Harper;7;121;Action|Crime|Drama|Mystery|Thriller;Jack Smight;Janet Leigh;Robert Wagner;Shelley Winters;kidnapping|los angeles california|neo noir|private detective|ransom
Harriet the Spy;5.9;100;Comedy|Drama|Family;Bronwen Hughes;Gregory Smith;Eartha Kitt;Charlotte Sullivan;binoculars|child spy|notebook|secret|spy
Harrison Montgomery;7.4;95;Drama;Daniel Davila;Martin Landau;Melora Walters;Diane Baker;abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco
Harry Brown;7.2;97;Action|Crime|Drama|Thriller;Daniel Barber;Joseph Gilgun;Jack O'Connell;Sean Harris;bayonet|death|police|self defense|widower
Harry Potter and the Chamber of Secrets;7.4;174;Adventure|Family|Fantasy|Mystery;Chris Columbus;Daniel Radcliffe;Rupert Grint;Emma Watson;bildungsroman|flying broom|invisibility cloak|monster|wizardry
Harry Potter and the Deathly Hallows: Part I;6.4;;Fantasy;Matt Birch;Rupert Grint;Toby Jones;Alfred Enoch;
Harry Potter and the Deathly Hallows: Part II;7.5;;Action|Fantasy;Matt Birch;Rupert Grint;Dave Legeno;Ralph Ineson;
Harry Potter and the Goblet of Fire;7.6;157;Adventure|Family|Fantasy|Mystery;Mike Newell;Robert Pattinson;Daniel Radcliffe;Rupert Grint;fire|goblet|magic|tournament|wizard
Harry Potter and the Half-Blood Prince;7.5;153;Adventure|Family|Fantasy|Mystery;David Yates;Alan Rickman;Daniel Radcliffe;Rupert Grint;blood|book|love|potion|professor
Harry Potter and the Order of the Phoenix;7.5;138;Adventure|Family|Fantasy|Mystery;David Yates;Robert Pattinson;Daniel Radcliffe;Fiona Shaw;battle|magic|school|teacher|wizard
